amplitude,rise_time
0.09970674486803519,8
0.10166177908113393,18
0.10361681329423265,25
0.10557184750733138,21
0.10752688172043011,31
0.10948191593352884,34
0.11143695014662756,32
0.11339198435972629,40
0.11534701857282502,55
0.11730205278592376,58
0.11925708699902249,61
0.12121212121212122,66
0.12316715542521994,54
0.12512218963831867,61
0.1270772238514174,48
0.12903225806451613,55
0.13098729227761485,61
0.13294232649071358,75
0.1348973607038123,85
0.13685239491691104,94
0.13880742913000976,53
0.14076246334310852,55
0.14271749755620725,44
0.14467253176930597,67
0.1466275659824047,74
0.14858260019550343,89
0.15053763440860216,75
0.15249266862170088,62
0.1544477028347996,85
0.15640273704789834,79
0.15835777126099707,72
0.1603128054740958,71
0.16226783968719452,69
0.16422287390029325,85
0.16617790811339198,79
0.1681329423264907,82
0.17008797653958943,63
0.17204301075268819,77
0.1739980449657869,77
0.17595307917888564,74
0.17790811339198437,82
0.1798631476050831,77
0.18181818181818182,69
0.18377321603128055,65
0.18572825024437928,81
0.187683284457478,70
0.18963831867057673,57
0.19159335288367546,74
0.1935483870967742,71
0.19550342130987292,72
0.19745845552297164,61
0.19941348973607037,93
0.2013685239491691,89
0.20332355816226785,76
0.20527859237536658,64
0.2072336265884653,83
0.20918866080156404,90
0.21114369501466276,74
0.2130987292277615,74
0.21505376344086022,84
0.21700879765395895,71
0.21896383186705767,67
0.2209188660801564,84
0.22287390029325513,91
0.22482893450635386,79
0.22678396871945258,70
0.2287390029325513,83
0.23069403714565004,84
0.23264907135874877,88
0.23460410557184752,76
0.23655913978494625,71
0.23851417399804498,75
0.2404692082111437,71
0.24242424242424243,73
0.24437927663734116,69
0.24633431085043989,86
0.2482893450635386,69
0.25024437927663734,68
0.25219941348973607,69
0.2541544477028348,61
0.2561094819159335,79
0.25806451612903225,66
0.260019550342131,79
0.2619745845552297,71
0.26392961876832843,80
0.26588465298142716,77
0.2678396871945259,58
0.2697947214076246,65
0.27174975562072334,80
0.27370478983382207,82
0.2756598240469208,81
0.2776148582600195,76
0.27956989247311825,76
0.28152492668621704,74
